Word,Translation,Module
cat,кот,Animals
dog,собака,Animals
bird,птица,Animals
fish,рыба,Animals
mouse,мышь,Animals
lion,лев,Animals
tiger,тигр,Animals
elephant,слон,Animals
monkey,обезьяна,Animals
bear,медведь,Animals
zebra,зебра,Animals
giraffe,жираф,Animals
penguin,пингвин,Animals
snake,змея,Animals
frog,лягушка,Animals
shirt,рубашка,Clothes
pants,брюки,Clothes
dress,платье,Clothes
skirt,юбка,Clothes
hat,шапка,Clothes
coat,пальто,Clothes
jacket,куртка,Clothes
sweater,свитер,Clothes
socks,носки,Clothes
shoes,обувь,Clothes
scarf,шарф,Clothes
gloves,перчатки,Clothes
jeans,джинсы,Clothes
t-shirt,футболка,Clothes
suit,костюм,Clothes
sunny,cолнечный,Wеather
rainy,дождливый,Wеather
snowy,cнежный,Wеather
cloudy,oблачный,Wеather
windy,ветреный,Wеather
stormy,бурный,Wеather
foggy,туманный,Wеather
hail,град,Wеather
thunder,гром,Wеather
lightning,молния,Wеather
rainbow,радуга,Wеather
dew,роса,Wеather
frost,иней,Wеather
ice,лёд,Wеather
snowflake,cнежинка,Wеather

